Key,Type,Desc,English,Georgian,French,German,Italian,Portuguese,Spain,Russian,,TempGeorgianToTranslate
TEXT_BROCCOLI,Text,,BROCCOLI,,BROCOLI,BROKKOLI,BROCCOLI,BRÓCOLES,BRÓCOLI,БРОККОЛИ,,
TEXT_BIKE,Text,,BIKE,,VÉLO,FAHRRAD,BICI,BICICLETA,BICICLETA,ВЕЛОСИПЕД,,
TEXT_BIRD,Text,,BIRD,,OISEAU,VOGEL,UCCELLO,PÁSSARO,PÁJARO,ПТИЦА,,
TEXT_BLACK,Text,,BLACK,,NOIR,SCHWARZ,NERO,PRETO,NEGRO,ЧЕРНЫЙ,,
TEXT_BLUE_CAR,Text,,Blue Car,,Voiture Bleue,Blaues Auto,Automobile Blu,Carro Azul,Coche Azul,Синий Автомобиль,,
TEXT_BONE,Text,,BONE,,OS,KNOCHEN,OSSO,OSSO,HUESO,КОСТЬ,,
TEXT_BOOST!,Text,,BOOST!,,AMÉLIORATION !,BOOST!,FORZA!,IMPULSO!,¡IMPULSO!,УСИЛИТЬ!,,
TEXT_BOOTS,Text,,BOOTS,,BOTTES,STIEFEL,STIVALI,BOTAS,BOTAS,БОТИНКИ,,
TEXT_BRACHIOSAURUS_(ORANGE),Text,,Brachiosaurus (orange),,Brachiosaure (orange),Brachiosaurier (orange),Brachilosauro (arancione),Braquiossauro (laranja),Braquiosaurio (naranja),Брахиозавр (оранжевый),,
TEXT_BROWN,Text,,BROWN,,MARRON,BRAUN,MARRONE,MARROM,MARRÓN,КОРИЧНЕВЫЙ,,
TEXT_BUCK,Text,,BUCK,,CHEVREUIL,BOCK,CERVO,CERVO,CIERVO,ОЛЕНЬ,,
TEXT_BUCKET,Text,,BUCKET,,SEAU,EIMER,SECCHIO,BALDE,CUBO,ВЕДРО,,
TEXT_BUILD_THE_LETTER,Text,,Build the Letter,,Former la Lettre,Brief Erstellen,Costruisci la Lettera,Construa a Letra,Crear la Letra,Собери Букву,,
TEXT_BURGER,Text,,BURGER,,BURGER,BURGER,AMBURGER,HAMBÚRGUER,HAMBURGUESA,БУРГЕР,,
TEXT_BUSY_ROAD,Text,,Busy Road,დატვირთული გზები,Route Très Fréquentée,Verkehrsreiche Straße,Strada Trafficata,Estrada Movimentada,Calle Transitada,Бойкая Дорога,,Busy Road
TEXT_BUTTERFLY,Text,,BUTTERFLY,,PAPILLON,SCHMETTERLING,FARFALLA,BORBOLETA,MARIPOSA,БАБОЧКА,,
TEXT_BYE_BYE,Text,,Bye Bye,,Au Revoir,TSCHÜSS,Ciao Ciao,TCHAU,ADIÓS,ПОКА-ПОКА,,
TEXT_CACTUS,Text,,CACTUS,,CACTUS,KAKTUS,CACTUS,CACTO,CACTUS,КАКТУС,,
TEXT_CAN_YOU_PLAY_DRUMS?,Text,,Can You Play Drums?,,Pouvez-vous Jouer du Tambour ?,Kannst du Trommel Spielen?,Sai Suonare la Batteria?,Consegue Tocar os Tambores?,¿sabes Tocar la Batería?,Умеешь Играть на Барабанах?,,
TEXT_CAN_YOU_SOLVE_THIS?,Text,,Can You Solve This?,,Pouvez-vous Résoudre Ceci ?,Kannst du das Lösen?,Lo Sai Risolvere?,Consegue Resolver Isto?,¿puedes Resolver Esto?,Сможешь это Решить?,,
TEXT_CANDIES!,Text,,CANDIES!,,BONBONS !,SÜSSIGKEITEN!,CARAMELLE!,DOCES!,¡CARAMELOS!,СЛАДОСТИ!,,
TEXT_CANDY,Text,,CANDY,,BONBON,SCHOKOLADE,CARAMELLA,DOCE,CARAMELO,КОНФЕТА,,
TEXT_CANDY_RAIN!,Text,,Candy Rain!,,Pluie de Bonbons !,SCHOKOLADENREGEN!,Pioggia di Caramelle,Chuva de Doces!,¡lluvia de Caramelos!,Конфетный Дождь!,,
TEXT_CAR,Text,,CAR,,VOITURE,AUTO,AUTOMOBILE,CARRO,COCHE,МАШИНА,,
TEXT_CARROT,Text,,CARROT,,CAROTTE,KAROTTE,CAROTA,CENOURA,ZANAHORIA,МОРКОВЬ,,
TEXT_CAT,Text,,CAT,,CHAT,KATZE,GATTO,GATO,GATO,КОШКА,,
TEXT_CATERPILLAR,Text,,CATERPILLAR,,CHENILLE,RAUPE,BRUCO,LAGARTA,ORUGA,ГУСЕНИЦА,,
TEXT_CHAIR,Text,,CHAIR,,CHAISE,SESSEL,SEDIA,CADEIRA,SILLA,СТУЛ,,
TEXT_CHAMELEON,Text,,CHAMELEON,,CAMÉLÉON,CHAMÄLEON,CAMALEONTE,CAMALEÃO,CAMALEÓN,ХАМЕЛЕОН,,
TEXT_CHECK_BOXES,Text,,Check Boxes,,Cases à Cocher,KONTROLLKÄSTCHEN,Cerca Nelle Scatole,Caixas de Verificação,Casillas de Verificación,ФЛАЖКИ,,
TEXT_CHEESE,Text,,CHEESE,,FROMAGE,KÄSE,FORMAGGIO,QUEIJO,QUESO,СЫР,,
TEXT_CHEF,Text,,CHEF,,CHEF,KOCH,CHEF,CHEF,COCINERO,ШЕФ-ПОВАР,,
TEXT_CHICK,Text,,CHICK,,POUSSIN,KÜKEN,PULCINO,PINTINHO,POLLITO,КУРИЦА,,
TEXT_CHICKEN,Text,,CHICKEN,,POULET,HUHN,POLLO,FRANGO,POLLO,ЦЫПЛЕНОК,,
TEXT_CHRISTMAS_TREE,Text,,Christmas Tree,,Arbre de Noël,WEIHNACHTSBAUM,Albero di Natale,Árvore de Natal,Árbol de Navidad,Рождественская Елка,,
TEXT_CIRCLE,Text,,CIRCLE,,CERCLE,KREIS,CERCHIO,CÍRCULO,CÍRCULO,КРУГ,,
TEXT_CLASSROOM_ADVENTURE,Text,,Classroom Adventure,საკლასო ოთახის თავგადასავალი,Aventure en Classe,Abenteuer im Klassenzimmer,Avventura in Aula,Aventura na Sala de Aula,Aula Aventura,Приключение в Классе,,Classroom Adventure
TEXT_CLEAN_NATURE,Text,,Clean Nature,ვასუფთავებთ ბუნებას,Nature Propre,Saubere Natur,Natura Pulita,Natureza Limpa,Naturaleza Pura,Чистая Природа,,Clean Nature
TEXT_CLOTHES_GO_IN_THE_WARDOBE,Text,,Clothes go in the Wardobe,,Les Vêtements Vont Dans la Garde-robe,Die Kleidung Gehört in den Kleiderschrank,I Vestiti Vanno Nell’armadio,Roupas Vão Para o Armário,La Ropa va en el Armario,Одежда Хранится в Гардеробе,,
TEXT_COLLECT_THE_CRYSTALLS,Text,,Collect the Crystalls,,Collecter les Cristaux,Kristalle Sammeln,Colleziona i Cristalli,Pegue Todos os Cristais,Recoger los Cristales,Собери Кристаллы,,
TEXT_COLLECT_TOYS,Text,,Collect Toys,,Collecter les Jouets,Spielzeug Sammeln,Raccogli i Giocattoli,Pegue Brinquedos,Recoger los Juguetes,Собери Игрушки,,
TEXT_COLOR_SORTING,Text,,Color Sorting,,Classement des Couleurs,Farben Sortieren,Ordine per Colore,Dividir por Cores,Ordenar por Colores,Сортировка Цветов,,
TEXT_COLOR_TOWER,Text,,Color Tower,,Tour de Couleurs,FARBTURM,Torre dei Colori,Torre das Cores,Torre de Colores,Цветная Башня,,
TEXT_COMPLETE_THE_HIVE,Text,,Complete the Hive,,Compléter la Ruche,Vervollständige den Bienenstock,Completa L’alveare,Complete a Colmeia,Completa la Colmena,Закончи Улей,,
TEXT_COMPLETE_THE_ROCKET,Text,,Complete the Rocket,,Compléter la Fusée,Baue die Rakete Fertig,Completa il Razzo,Complete o Foguete,Completa el Cohete,Закончи Ракету,,
TEXT_CONSTRUCT_ROCKETS,Text,,Construct Rockets,ვაწყობთ რაკეტებს,Construire des Fusées,RAKETENBAU,Costruisci i Razzi,Construir Foguetes,Construye Cohetes,Строим Ракеты,,Construct Rockets
TEXT_CONSTRUCT_THE_ROCKET,Text,,Construct the Rocket,,Construire la Fusée,Baue die Rakete,Costruisci il Razzo,Construa o Foguete,Construye el Cohete,Построй Ракету,,
TEXT_CONTENT_IS_LOCKED,Text,,Content is Locked,,Le Contenu est Bloqué,Inhalt Gesperrt,Il Contenuto è Bloccato,Conteúdo Está Bloqueado,El Contenido Está Bloqueado,Содержимое Закрыто,,
TEXT_CONTENT_WILL_BE_UNLOCKED_AFTER_THE_COUNTDOWN,Text,,Content Will be Unlocked After the Countdown,,Le Contenu Sera Débloqué Après le Compte à Rebours,Inhalt Wird Nach dem Countdown Freigeschaltet,Il Contenuto Verrà Sbloccato Dopo il Countdown,Conteúdo Será Desbloqueado Depois da Contagem Regressiva,El Contenido se Desbloqueará Después de la Cuenta Atrás,Содержимое Откроется После Окончания Таймера,,
TEXT_COW,Text,,COW,,VACHE,KUH,MUCCA,VACA,VACA,КОРОВА,,
TEXT_CRAB,Text,,CRAB,,CRABE,KRABBE,GRANCHIO,CARANGUEJO,CANGREJO,КРАБ,,
TEXT_CRAFTSMAN,Text,,CRAFTSMAN,,ARTISAN,HANDWERKER,ARTIGIANO,ARTESÃO,ARTESANO,МАСТЕРОВОЙ,,
TEXT_CRANE,Text,,CRANE,,GRUE,KRANICH,GRU,GROU,GRÚA,ЖУРАВЛЬ,,
TEXT_CRICKET,Text,,CRICKET,,CRIQUET,GRILLE,GRILLO,GRILO,GRILLO,СВЕРЧОК,,
TEXT_CUPCAKE,Text,,CUPCAKE,,Petit Gâteau,CUPCAKE,PASTICCINO,BOLINHO,MAGDALENA,КЕКС,,
TEXT_CUTE_DINO,Text,,Cute Dino,,Joli Dinosaure,Niedlicher Dino,Dinosauro Carino,Dino Fofo,Lindo Dinosaurio,Милый Динозавр,,
TEXT_CYAN,Text,,CYAN,,CYAN,CYAN,AZZURRO,CIANO,CIAN,ЗЕЛЕНО-ГОЛУБОЙ,,
TEXT_DANCE!,Text,,DANCE!,,DANSE !,TANZEN!,BALLA!,DANCE!,¡BAILA!,ТАНЦУЙ!,,
TEXT_DEER,Text,,DEER,,CERF,HIRSCH,CERVO,VEADO,CIERVO,ЛАНЬ,,
TEXT_DELICIOUS,Text,,DELICIOUS,,DÉLICIEUX,KÖSTLICH,DELIZIOSO,DELICIOSO,DELICIOSO,ВКУСНО,,
TEXT_DINO_WORLD,Text,,Dino World,,Monde des Dinosaures,DINOWELT,Il Mondo dei Dinosauri,Mundo Dino,Mundo de los Dinosaurios,Мир Динозавров,,
TEXT_DINOSAUR,Text,,DINOSAUR,,DINOSAURE,DINOSAURIER,DINOSAURO,DINOSSAURO,DINOSAURIO,ДИНОЗАВР,,
TEXT_DOCTOR,Text,,DOCTOR,,DOCTEUR,ARZT,DOTTORE,DOUTOR,DOCTOR,ДОКТОР,,
TEXT_DOG,Text,,DOG,,CHIEN,HUND,CANE,CACHORRO,PERRO,СОБАКА,,
TEXT_DOLPHIN,Text,,DOLPHIN,,DAUPHIN,DELPHIN,DELFINO,GOLFINHO,DELFÍN,ДЕЛЬФИН,,
TEXT_DONUT,Text,,DONUT,,BEIGNET,DONUT,CIAMBELLA,ROSCA,DONUT,ПОНЧИК,,
TEXT_DRUMS,Text,,DRUMS,,TAMBOURS,TROMMEL,BATTERIA,TAMBORES,TAMBORES,БАРАБАНЫ,,
TEXT_EATS,Text,,EATS,,MANGE,ISST,MANGIA,COMER,COME,ЕСТ,,
TEXT_EIGHT,Text,,EIGHT,,HUIT,ACHT,OTTO,OITO,OCHO,ВОСЕМЬ,,
TEXT_ELEPHANT,Text,,ELEPHANT,,ÉLÉPHANT,ELEFANT,ELEFANTE,ELEFANTE,ELEFANTE,СЛОН,,
TEXT_EQUALS,Text,,EQUALS,,ÉGALE,ENTSPRICHT,UGUALE,IGUAL,Es Igual a,РАВНО,,
TEXT_EQUALS_TO_WHAT,Text,,Equals to What,,Égale à Quoi,Entspricht Was,È Uguale a Cosa,Igual a quê,Equivale a lo que,Равно Чему,,
TEXT_EVERY_BEAR_IS_IN_POD,Text,,Every Bear is in pod,,Chaque Ours est Dans un Caisson,Jeder Bär ist im Topf,Ogni Orso è in Posizione,Todos os Ursos Estão na Cápsula,Cada oso se Encuentra en una Cápsula,Каждый Медведь в Семье,,
TEXT_FARM_OR_THE_WILD,Text,,Farm or the Wild,შინაური თუ გარეული?,La Ferme ou L’état Sauvage,Bauernhof Oder die Wildnis,Fattoria o la Natura Selvaggia,Fazenda ou Selvagem,Granja o Naturaleza,На Ферме и на Природе,,Farm or the Wild
TEXT_FARMER,Text,,FARMER,,FERMIER,BAUER,CONTADINO,AGRICULTOR,AGRICULTOR,ФЕРМЕР,,
TEXT_FARM_LIFE,Text,,Farm Life,,Vie à la Ferme,Leben am Bauernhof,Vita in Fattoria,Vida de Fazenda,La Vida en la Granja,Жизнь на Ферме,,
TEXT_FASCINATING,Text,,FASCINATING,,FASCINANT,FASZINIEREND,AFFASCINANTE,FASCINANTE,FASCINANTE,УДИВИТЕЛЬНО,,
TEXT_FEED_EVERYONE,Text,,Feed Everyone,,Nourrir Tout le Monde,Füttere Alle,Trova Tutti,Alimente Todos,Alimenta a Todos,Накорми Всех,,
TEXT_FIND_THE_ANIMAL,Text,,Find the Animal,,Trouver L’animal,Finde das Tier,Trova L’animale,Encontre o Animal,Encuentra el Animal,Найди Животное,,
TEXT_FIND_THE_AUSTRONAUT,Text,,Find the Austronaut,,Trouver L’astronaute,Finde den Astronauten,Trova L’astronauta,Encontre o Astronauta,Encuentra al Astronauta,Найди Космонавта,,
TEXT_FIND_THE_BABY,Text,,Find the Baby,,Trouver le Bébé,Finde das Baby,Trova il Bebè,Encontre o Bebê,Encuentra al Bebé,Найди Ребенка,,
TEXT_FIND_THE_FARMER,Text,,Find the Farmer,,Trouver le Fermier,Finde den Bauern,Trova il Contadino,Encontre o Agricultor,Encuentra al Agricultor,Найди Фермера,,
TEXT_FIND_THE_FIREFIGHTER,Text,,Find the Firefighter,,Trouver le Pompier,Finde den Feuerwehrmann,Trova il Pompiere,Encontre o Bombeiro,Encuentra al Bombero,Найди Пожарного,,
TEXT_FIND_THE_NURSE,Text,,Find the Nurse,,Trouver L’infirmière,Finde die Krankenschwester,Trova L’infermiera,Encontre a Enfermeira,Encuentra a la Enfermera,Найди Медсестру,,
TEXT_FIND_THE_POLICE,Text,,Find the Police,,Trouver le Policier,Finde die Polizei,Trova il Poliziotto,Encontre o Policial,Encuentra a la Policía,Найди Полицейского,,
TEXT_FIND_THE_RABBIT,Text,,Find the Rabbit,,Trouver le Lapin,Finde das Kaninchen,Trova il Coniglio,Encontre o Coelho,Encuentra al Conejo,Найди Кролика,,
TEXT_FIND_THE_SAILOR,Text,,Find the Sailor,,Trouver le Marin,Finde den Matrosen,Trova i Marinaio,Encontre o Marinheiro,Encuentre al Marinero,Найди Моряка,,
TEXT_FIND_THE_SOLDIER,Text,,Find the Soldier,,Trouver le Soldat,Finde den Soldaten,Trova il Soldato,Encontre o Soldado,Encuentra al Soldado,Найди Солдата,,
TEXT_FIND_THE_TAXI,Text,,Find the Taxi,,Trouver le Taxi,Finde das Taxi,Trova il Taxi,Encontre o Táxi,Encuentra el Taxi,Найди Такси,,
TEXT_FIND_THE_VILLAGER,Text,,Find the Villager,,Trouver le Villageois,Finde den Dorfbewohner,Trova L’abitante del Villaggio,Encontre o Aldeão,Encuentra al Aldeano,Найди Жителя Деревни,,
TEXT_FIND_THE_WORKER,Text,,Find the Worker,,Trouver le Travailleur,Finde den Arbeiter,Trova L’operaio,Encontre o Trabalhador,Encuentra al Obrero,Найди Работника,,
TEXT_FIREMAN,Text,,FIREMAN,,POMPIER,FEUERWEHRMANN,POMPIERE,BOMBEIRO,BOMBERO,ПОЖАРНЫЙ,,
TEXT_FIRETRUCK,Text,,FIRETRUCK,,Camion de Pompier,FEUERWEHRAUTO,Camion dei Pompieri,Caminhão de Bombeiros,Camión de Bomberos,Пожарная Машина,,
TEXT_FISH,Text,,FISH,,POISSON,FISCH,PESCE,PEIXE,PESCADO,РЫБА,,
TEXT_FIVE,Text,,FIVE,,CINQ,FÜNF,CINQUE,CINCO,CINCO,ПЯТЬ,,
TEXT_FLIP!,Text,,FLIP!,,RENVERSER !,DREHEN!,GIRA!,VIRAR!,¡GIRA!,САЛЬТО!,,
TEXT_FLOUNDER,Text,,FLOUNDER,,FLET,FLUNDER,PLATESSA,LINGUADO,LENGUADO,КАМБАЛА,,
TEXT_FLYING_DINO,Text,,Flying Dino,,Dinosaure Volant,Fliegender Dino,Dinosauro Volante,Dino Voador,Dinosaurio Volador,Летающий Динозавр,,
TEXT_FOOD_FOR_EVERYONE,Text,,Food for Everyone,,Nourriture Pour Tout le Monde,Essen für Alle,Cibo per Tutti,Comida Para Todos,Comida Para Todos,Еда Для Всех,,
TEXT_FOOD_GOES_IN_THE_FRIDGE,Text,,Food Goes in the Fridge,,La Nourriture va Dans le Réfrigérateur,Nahrung Gehört in den Kühlschrank,Il Cibo va nel Frigorifero,Comida Vai Para a Geladeira,La Comida va a la Nevera,Еда Хранится в Холодильнике,,
TEXT_FOOTBALL_PLAYER,Text,,Football Player,,Joueur de Foot,FUSSBALLSPIELER,CALCIATORE,Jogador de Futebol,Jugador de Fútbol,ФУТБОЛИСТ,,
TEXT_FOOTBALLER,Text,,FOOTBALLER,,FOOTBALLEUR,FUSSBALLER,CALCIATORE,Jogador de Futebol,FUTBOLISTA,ФУТБОЛИСТ,,
TEXT_FOUR,Text,,FOUR,,QUATRE,VIER,QUATTRO,QUATRO,CUATRO,ЧЕТЫРЕ,,
TEXT_FOX,Text,,FOX,,RENARD,FUCHS,VOLPE,RAPOSA,ZORRO,ЛИСА,,
TEXT_FRESH_JUICE,Text,,Fresh Juice,ვამზადებთ წვენს,Jus Frais,Frischer Saft,Succo Fresco,Suco Fresco,Zumo Recién Hecho,Свежевыжатый сок,,Fresh Juice
TEXT_FRIES,Text,,FRIES,,FRITES,POMMES,Patatine Fritte,Batatas Fritas,Patatas Fritas,Картофель Фри,,
TEXT_GAME_IS_LOCKED,Text,,Game is Locked,,Le jeu est Bloqué,Spiel ist Gesperrt,Il Gioco è Bloccato,Jogo Está Bloqueado,El Juego Está Bloqueado,Игра Закрыта,,
TEXT_GARLIC,Text,,GARLIC,,AIL,KNOBLAUCH,AGLIO,ALHO,AJO,ЧЕСНОК,,
TEXT_GINGER,Text,,GINGER,,GINGEMBRE,INGWER,ZENZERO,GENGIBRE,JENGIBRE,ИМБИРЬ,,
TEXT_GIRAFFE,Text,,GIRAFFE,,GIRAFE,GIRAFFE,GIRAFFA,GIRAFA,JIRAFA,ЖИРАФ,,
TEXT_GO_FASTER!,Text,,Go Faster!,,Aller Plus Vite !,SCHNELLER!,Più Veloce!,Mais Rápido!,¡ve más Rápido!,БЫСТРЕЕ!,,
TEXT_GOAT,Text,,GOAT,,CHÈVRE,ZIEGE,CAPRA,CABRA,CABRA,КОЗЕЛ,,
TEXT_GOLDFISH,Text,,GOLDFISH,,Poisson Rouge,GOLDFISCH,Pesce Rosso,PEIXE-DOURADO,Pez Dorado,Золотая Рыбка,,
TEXT_GOOD_JOB,Text,,Good Job,,BRAVO,Gut Gemacht,Buon Lavoro,Bom Trabalho,Buen Trabajo,Хорошая Работа,,
TEXT_GOOD_ONE,Text,,Good One,,BON,Das War gut,Ben Fatto,BOA,BUENA,ЗАМЕЧАТЕЛЬНО,,
TEXT_GOOSE,Text,,GOOSE,,OIE,GANS,OCA,GANSO,GANSO,ГУСЬ,,
TEXT_GRASS,Text,,GRASS,,HERBE,GRAS,ERBA,GRAMA,HIERBA,ТРАВА,,
TEXT_GREAT,Text,,GREAT,,EXCELLENT,GROSSARTIG,OTTIMO,ÓTIMO,GRAN,ОТЛИЧНО,,
TEXT_GREEN,Text,,GREEN,,VERT,GRÜN,VERDE,VERDE,VERDE,ЗЕЛЕНЫЙ,,
TEXT_GREY,Text,,GREY,,GRIS,GRAU,GRIGIO,CINZA,GRIS,СЕРЫЙ,,
TEXT_GUITAR,Text,,GUITAR,,GUITARE,GITARRE,CHITARRA,GUITARRA,GUITARRA,ГИТАРА,,
TEXT_HALF_PAST...,Text,,Half Past...,,...et Demie,Halbe Stunde Nach ...,…. e Mezza,Meia Hora...,Las… y Media,Половина После...,,
TEXT_HAMSTER,Text,,HAMSTER,,HAMSTER,HAMSTER,CRICETO,HAMSTER,HÁMSTER,ХОМЯК,,
TEXT_HAPPY_DINO,Text,,Happy Dino,,Dinosaure Joyeux,Fröhlicher Dino,Dinosauro Felice,Dino Feliz,Dinosaurio Feliz,Счастливый Динозавр,,
TEXT_HAPPY_DRUMS,Text,,Happy Drums,მხიარული დოლები,Tambours Joyeux,Fröhliche Trommel,Batteria Felice,Tambores Felizes,Tambores Alegres,Веселые Барабаны,,Happy Drums
TEXT_HAPPY_FLOWER,Text,,Happy Flower,,Fleur Joyeuse,Fröhliche Blume,Fiore Felice,Flor Feliz,Flor Feliz,Счастливый Цветок,,
TEXT_HAPPY_JOURNEY,Text,,Happy Journey,,Bon Voyage,Fröhliche Reise,Buon Viaggio,Viagem Feliz,Feliz Viaje,Веселое Путешествие,,
TEXT_HAPPY_SHOPPING,Text,,Happy Shopping,,Agréable Shopping,Fröhliches Einkaufen,Buono Shopping,Compras Felizes,Feliz Compra,Веселые Покупки,,
TEXT_HAT,Text,,HAT,,CHAPEAU,HUT,CAPPELLO,CHAPÉU,SOMBRERO,ШЛЯПА,,
TEXT_HEART,Text,,HEART,,CŒUR,HERZ,CUORE,CORAÇÃO,CORAZÓN,СЕРДЦЕ,,
TEXT_HEDGEHOG,Text,,HEDGEHOG,,HÉRISSON,IGEL,RICCIO,PORCO-ESPINHO,ERIZO,ЕЖ,,
TEXT_HELLICOPTER,Text,,HELLICOPTER,,HÉLICOPTÈRE,HUBSCHRAUBER,ELICOTTERO,HELICÓPTERO,Helicóptero Infernal,ВЕРТОЛЕТ,,
TEXT_HELLO,Text,,HELLO,,BONJOUR,HALLO,CIAO,OLÁ,HOLA,ЗДРАВСТВУЙТЕ,,
"TEXT_""HELLO","_I'M_YOUR_TEACHER""",Text,,,"Hello, I'm Your Teacher","Bonjour, je Suis Votre Enseignant","Hallo, Ich Bin Dein Lehrer","Ciao, Sono la tua Insegnante","Olá, Sou seu Professor","Hola, Soy tu Profesor",,
TEXT_HELP_OGGY_TO_HARVEST,Text,,Help Oggy to Harvest,,Aider Oggy à Récolter,Hilf Oggy bei der Ernte,Aiuta Oggy con il Raccolto,Ajude o Oggy a Colher,Ayuda a Oggy a Cosechar,Помоги Огги Собрать Урожай,,
TEXT_HELP_THE_SEA_CREATURES,Text,,Help the Sea Creatures,,Aider les Créatures Marines,Hilf den Meereskreaturen,Aiuta le Creature Marine,Ajude as Criaturas Marinhas,Ayuda a las Criaturas del mar,Помоги Морским Обитателям,,
TEXT_HELP_WITH_THE_GROCERIES,Text,,Help With the Groceries,,Aider à Faire les Courses,Hilf bei den Lebensmitteln,Dai una Mano con la Spesa,Ajude com as Mercearias,Ayuda con la Compra,Помоги с Продуктами,,
TEXT_HEN,Text,,HEN,,POULE,HENNE,GALLINA,GALINHA,GALLINA,КУРИЦА,,
TEXT_HEPTAGON,Text,,HEPTAGON,,HEPTAGONE,SIEBENECK,ETTAGONO,HEPTÁGONO,HEPTÁGONO,СЕМИУГОЛЬНИК,,
TEXT_HEXAGON,Text,,HEXAGON,,HEXAGONE,HEXAGON,ESAGONO,HEXÁGONO,HEXÁGONO,ШЕСТИУГОЛЬНИК,,
TEXT_HIPPO,Text,,HIPPO,,HIPPOPOTAME,NILPFERD,IPPOPOTAMO,HIPOPÓTAMO,HIPOPÓTAMO,БЕГЕМОТ,,
TEXT_HIVE_GIVES_US_HONEY,Text,,Hive Gives us Honey,,La Ruche Nous Donne du Miel,Der Bienenstock Bringt uns Honig,L’alveare ci dà il Miele,A Colmeia nos dá mel,La Colmena nos da Miel,Улей Дает нам Мед,,
TEXT_HM1,Text,,HM1,,HM1,HM1,HM1,HM1,HM1,HM1,,
TEXT_HM2,Text,,HM2,,HM2,HM2,HM2,HM2,HM2,HM2,,
TEXT_HM3,Text,,HM3,,HM3,HM3,HM3,HM3,HM3,HM3,,
TEXT_HONEY,Text,,HONEY,,MIEL,HONIG,MIELE,MEL,MIEL,МЕД,,
TEXT_HOOD,Text,,HOOD,,CAPUCHE,KAPUZE,CAPPUCCIO,CAPUZ,CAPUCHA,КАПОТ,,
TEXT_HORSE,Text,,HORSE,,CHEVAL,PFERD,CAVALLO,CAVALO,CABALLO,ЛОШАДЬ,,
TEXT_HOTDOG,Text,,HOTDOG,,HOTDOG,HOTDOG,HOTDOG,CACHORRO-QUENTE,Perrito Caliente,ХОТ-ДОГ,,
TEXT_HOUSE,Text,,HOUSE,,MAISON,HAUS,CASA,CASA,CASA,ДОМ,,
TEXT_ICECREAM,Text,,ICECREAM,,Crème Glacée,EISCREME,GELATO,SORVETE,HELADO,МОРОЖЕНОЕ,,
TEXT_INSECT_WORLD,Text,,Insect World,,Monde des Insectes,INSEKTENWELT,Il Mondo Degli Insetti,Mundo dos Insetos,Mundo de los Insectos,Мир Насекомых,,
TEXT_INTERESTING,Text,,INTERESTING,,INTÉRESSANT,INTERESSANT,INTERESSANTE,INTERESSANTE,INTERESANTE,ИНТЕРЕСНО,,
TEXT_IS_IT_FOOD_OR_CLOTHES,Text,,Is it Food or Clothes,,Est-ce de la Nourriture ou des Vêtements,Ist das Nahrung Oder Kleidung,È un Cibo o un Vestito,É Comida ou Roupa,Es la Comida o la Ropa,Это Еда или Одежда,,
TEXT_IS_IT_HEALTHY,Text,,Is it Healthy,,Est-ce Sain,Ist es Gesund,È Sano,É Saudável,Es Saludable,Полезно ли это,,
TEXT_IS_FOR,Text,,Is for,,C’est Pour,Es ist für,Serve a,É Para,Es Para,Это Для,,
TEXT_IT'S...,Text,,IT'S...,,C’EST...,Es ist ...,È…,É...,ES...,СЕЙЧАС...,,
TEXT_IT鈥檚_RAINING!,Text,,It鈥檚 Raining!,,Il Pleut !,Es Regnet!,PIOVE!,Está Chovendo!,¡está Lloviendo!,Идет Дождь!,,
TEXT_IT鈥檚_SNOWING!,Text,,It鈥檚 Snowing!,,Il Neige !,Es Schneit!,NEVICA!,Está Nevando!,¡está Nevando!,Идет Снег!,,
TEXT_JELLYFISH,Text,,JELLYFISH,,MÉDUSE,QUALLE,MEDUSA,MEDUSAS,MEDUSA,МЕДУЗА,,
TEXT_JUMP_IN_THE_ROCKET,Text,,Jump in the Rocket,,Sauter Dans la Fusée,Spring in die Rakete,Entra nel Razzo,Pule Para o Foguete,Salta en el Cohete,Прыгай в Ракету,,
TEXT_JUMPY_DINO,Text,,Jumpy Dino,,Dinosaure Sautillant,Dino Spring,Dinosauro Saltellante,Dino Saltitante,Dinosaurio Saltarín,Прыгучий Динозавр,,
TEXT_JUNK_OR_HEALTHY,Text,,Junk or Healthy,მავნეა თუ სასარგებლო?,Indésirable ou Sain,Ungesund Oder Gesund,Cibo Malsano o Sano,Sem Qualidade ou Saudável,Basura o Saludable,Вредно или Полезно,,Junk or Healthy
TEXT_KANGAROO,Text,,KANGAROO,,KANGOUROU,KÄNGURU,CANGURO,CANGURU,CANGURO,КЕНГУРУ,,
TEXT_KINGFISH,Text,,KINGFISH,,THAZARD,EISVOGEL,RICCIOLA,PEIXE-REI,PETO,Большая Рыба,,
TEXT_KITE,Text,,KITE,,CERF-VOLANT,DRACHE,AQUILONE,PIPA,COMETA,Воздушный Змей,,
TEXT_KOALA,Text,,KOALA,,KOALA,KOALA,KOALA,COALA,KOALA,КОАЛА,,
TEXT_LADYBUG,Text,,LADYBUG,,COCCINELLE,MARIENKÄFER,COCCINELLA,JOANINHA,MARIQUITA,Божья Коровка,,
TEXT_LAUNCH_THE_ROCKET,Text,,Launch the Rocket,,Lancer la Fusée,Starte die Rakete,Lancia il Razzo,Lance o Foguete,Lanza el Cohete,Запуск Ракеты,,
TEXT_LEEK,Text,,LEEK,,POIREAU,LAUCH,PORRO,ALHO-PORÓ,PUERRO,ЛУК-ПОРЕЙ,,
